EBE_class,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1,p2,p3,p4,jacobian,EBE_exp
devfromebe_recessive,1.00E-07,0.001,0.01,0.676214606,0.676214606,0.676214606,1,0.676214606,0.676214606,0.676214606,0.676214606,0.676214606,0.676214606,1,0,0.031493656,0,0.968506344,-0.029894235,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.362662082,0.362662082,0.362662082,1,0.362662082,0.362662082,0.362662082,0.362662082,0.362662082,0.362662082,1,0,0.015772185,0,0.984227815,-0.250285834,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.997336743,0.997336743,0.997336743,1,0.997336743,0.997336743,0.997336743,0.997336743,0.997336743,0.997336743,1,0,0.907215814,0,0.092784186,-2.69E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.99801296,0.99801296,0.99801296,1,0.99801296,0.99801296,0.99801296,0.99801296,0.99801296,0.99801296,1,0,0.907706861,0,0.092293139,-2.01E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.976360776,0.976360776,0.976360776,1,0.976360776,0.976360776,0.976360776,0.976360776,0.976360776,0.976360776,1,0,0.882633176,0,0.117366824,-2.41E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.105846308,0.105846308,0.105846308,1,0.105846308,0.105846308,0.105846308,0.105846308,0.105846308,0.105846308,1,0,0.011195807,0,0.988804193,-0.709913534,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.947163837,0.947163837,0.947163837,1,0.947163837,0.947163837,0.947163837,0.947163837,0.947163837,0.947163837,1,0,0.237874763,0,0.762125237,-3.07032E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.901571135,0.901571135,0.901571135,1,0.901571135,0.901571135,0.901571135,0.901571135,0.901571135,0.901571135,1,0,0.111830714,0,0.888169286,-0.000505115,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.738682103,0.738682103,0.738682103,1,0.738682103,0.738682103,0.738682103,0.738682103,0.738682103,0.738682103,1,0,0.03930366,0,0.96069634,-0.01499314,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.998807079,0.998807079,0.998807079,1,0.998807079,0.998807079,0.998807079,0.998807079,0.998807079,0.998807079,1,0,0.908270246,0,0.091729754,-1.21E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.994392306,0.994392306,0.994392306,1,0.994392306,0.994392306,0.994392306,0.994392306,0.994392306,0.994392306,1,0,0.904945412,0,0.095054588,-5.69E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.857986976,0.857986976,0.857986976,1,0.857986976,0.857986976,0.857986976,0.857986976,0.857986976,0.857986976,1,0,0.074770799,0,0.925229201,-0.001931483,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.687350367,0.687350367,0.687350367,1,0.687350367,0.687350367,0.687350367,0.687350367,0.687350367,0.687350367,1,0,0.032650005,0,0.967349995,-0.026728679,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.732546485,0.732546485,0.732546485,1,0.732546485,0.732546485,0.732546485,0.732546485,0.732546485,0.732546485,1,0,0.038368872,0,0.961631128,-0.016165395,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.649793249,0.649793249,0.649793249,1,0.649793249,0.649793249,0.649793249,0.649793249,0.649793249,0.649793249,1,0,0.029052568,0,0.970947432,-0.038382464,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.963212089,0.963212089,0.963212089,1,0.963212089,0.963212089,0.963212089,0.963212089,0.963212089,0.963212089,1,0,0.442155315,0,0.557844685,-1.17E-06,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.995671462,0.995671462,0.995671462,1,0.995671462,0.995671462,0.995671462,0.995671462,0.995671462,0.995671462,1,0,0.905959416,0,0.094040584,-4.38E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.996295831,0.996295831,0.996295831,1,0.996295831,0.996295831,0.996295831,0.996295831,0.996295831,0.996295831,1,0,0.906438602,0,0.093561398,-3.75E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.992799712,0.992799712,0.992799712,1,0.992799712,0.992799712,0.992799712,0.992799712,0.992799712,0.992799712,1,0,0.903617702,0,0.096382298,-7.33E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.573146176,0.573146176,0.573146176,1,0.573146176,0.573146176,0.573146176,0.573146176,0.573146176,0.573146176,1,0,0.02372004,0,0.97627996,-0.07174401,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.80510128,0.80510128,0.80510128,1,0.80510128,0.80510128,0.80510128,0.80510128,0.80510128,0.80510128,1,0,0.05339254,0,0.94660746,-0.005707225,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.982700836,0.982700836,0.982700836,1,0.982700836,0.982700836,0.982700836,0.982700836,0.982700836,0.982700836,1,0,0.892877573,0,0.107122427,-1.78E-08,0.090909091
