analysis_name,mutation_rate,epimutation_rate,backepi_rate,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,h,solns,p1,p2,p3,p4,p2_p4_sum,p2_p4_estimate,p2_p4_mutselbalance,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997445978,1,1,0.997445978,0.997445978,1,0.255402187,2,0.909050941,3.9151E-05,0.090905094,4.8142E-06,4.39652E-05,4.31E-05,3.92E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997445025,1,1,0.997445025,0.997445025,1,0.255497495,2,0.909050955,3.91364E-05,0.090905096,4.81274E-06,4.39491E-05,4.31E-05,3.91E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997428046,1,1,0.997428046,0.997428046,1,0.257195387,2,0.909051214,3.88781E-05,0.090905121,4.78691E-06,4.3665E-05,4.28E-05,3.89E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997380789,1,1,0.997380789,0.997380789,1,0.261921061,2,0.909051915,3.81768E-05,0.090905191,4.71678E-06,4.28936E-05,4.20E-05,3.82E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997247901,1,1,0.997247901,0.997247901,1,0.275209905,2,0.909053758,3.63337E-05,0.090905376,4.53247E-06,4.08662E-05,4.00E-05,3.63E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997246782,1,1,0.997246782,0.997246782,1,0.275321759,2,0.909053773,3.6319E-05,0.090905377,4.531E-06,4.085E-05,4.00E-05,3.63E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997230806,1,1,0.997230806,0.997230806,1,0.276919356,2,0.909053982,3.61095E-05,0.090905398,4.51005E-06,4.06195E-05,3.97E-05,3.61E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997194233,1,1,0.997194233,0.997194233,1,0.280576742,2,0.909054453,3.56389E-05,0.090905445,4.46299E-06,4.01019E-05,3.92E-05,3.56E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997194142,1,1,0.997194142,0.997194142,1,0.280585841,2,0.909054454,3.56377E-05,0.090905445,4.46287E-06,4.01006E-05,3.92E-05,3.56E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.997018315,1,1,0.997018315,0.997018315,1,0.298168481,2,0.909056555,3.35366E-05,0.090905656,4.25276E-06,3.77893E-05,3.69E-05,3.35E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.996942744,1,1,0.996942744,0.996942744,1,0.305725599,2,0.909057384,3.27077E-05,0.090905738,4.16987E-06,3.68776E-05,3.60E-05,3.27E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.996719342,1,1,0.996719342,0.996719342,1,0.328065801,2,0.909059611,3.04807E-05,0.090905961,3.94717E-06,3.44279E-05,3.35E-05,3.05E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.996694206,1,1,0.996694206,0.996694206,1,0.330579393,2,0.909059843,3.0249E-05,0.090905984,3.924E-06,3.4173E-05,3.33E-05,3.02E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.99658369,1,1,0.99658369,0.99658369,1,0.341631049,2,0.909060821,2.92705E-05,0.090906082,3.82615E-06,3.30967E-05,3.22E-05,2.93E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.99653548,1,1,0.99653548,0.99653548,1,0.346452005,2,0.909061228,2.88633E-05,0.090906123,3.78543E-06,3.26487E-05,3.18E-05,2.89E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.99630938,1,1,0.99630938,0.99630938,1,0.369062011,2,0.909062997,2.70952E-05,0.0909063,3.60862E-06,3.07038E-05,2.98E-05,2.71E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.996205107,1,1,0.996205107,0.996205107,1,0.37948928,2,0.909063741,2.63508E-05,0.090906374,3.53418E-06,2.98849E-05,2.90E-05,2.64E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.995781617,1,1,0.995781617,0.995781617,1,0.421838272,2,0.909066386,2.37056E-05,0.090906639,3.26965E-06,2.69752E-05,2.61E-05,2.37E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.995756736,1,1,0.995756736,0.995756736,1,0.424326405,2,0.909066525,2.35666E-05,0.090906653,3.25576E-06,2.68223E-05,2.59E-05,2.36E-05,,,
