scenario,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1_equil,p2_equil,p3_equil,eigen1,eigen2,eigen3,determinant
1a-symmetric,1.00E-07,0.000711942,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.933537571,0,-0.010712042,-0.010711942,-1.00E-07,-1.15E-11
1a-symmetric,1.00E-07,0.000159917,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.944252803,0.03977955,0.015331501,-0.010162268,-0.00986069,-2.27E-06,-2.28E-10
1a-symmetric,1.00E-07,6.87E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.694302001,0.298847574,0.004795944,-0.010068977,-0.009973824,-1.31E-07,-1.32E-11
1a-symmetric,1.00E-07,0.000237396,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.958785999,0.017507673,0.023290696,-0.01024282,-0.009788272,-5.37E-06,-5.39E-10
1a-symmetric,1.00E-07,0.021169107,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.275655922,5.96E-06,0.724325109,-0.036276325,-0.032409557,-0.005271413,-6.20E-06
1a-symmetric,1.00E-07,0.498564723,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.019481915,2.04E-07,0.980507688,-0.513291183,-0.513105265,-0.009617567,-0.002533002
1a-symmetric,1.00E-07,0.000262924,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.959554212,0.014191654,0.025880996,-0.01026962,-0.009765841,-6.66E-06,-6.68E-10
1a-symmetric,1.00E-07,0.002587621,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.794431286,0,-0.012587721,-0.012587621,-1.00E-07,-1.58E-11
1a-symmetric,1.00E-07,8.50E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.828366825,0.16315666,0.007089892,-0.01008549,-0.009945009,-4.06E-07,-4.08E-11
1a-symmetric,1.00E-07,0.016890456,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.37187915,0,-0.026890556,-0.026890456,-1.00E-07,-7.23E-11
1a-symmetric,1.00E-07,0.007633202,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.56711198,0,-0.017633302,-0.017633202,-1.00E-07,-3.11E-11
1a-symmetric,1.00E-07,0.006797877,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.595313324,0,-0.016797977,-0.016797877,-1.00E-07,-2.82E-11
1a-symmetric,1.00E-07,0.02042034,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.282155615,6.21E-06,0.717825072,-0.035440655,-0.031514457,-0.005177712,-5.78E-06
1a-symmetric,1.00E-07,0.001730199,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.852500424,0,-0.011730299,-0.011730199,-1.00E-07,-1.38E-11
1a-symmetric,1.00E-07,0.000253562,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.959391104,0.015289023,0.024932197,-0.010259776,-0.009773998,-6.17E-06,-6.19E-10
1a-symmetric,1.00E-07,0.000267775,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.959592969,0.013668841,0.026372166,-0.010274728,-0.009761644,-6.92E-06,-6.94E-10
1a-symmetric,1.00E-07,8.49E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.827796347,0.163739227,0.00707483,-0.010085367,-0.009945183,-4.04E-07,-4.05E-11
1a-symmetric,1.00E-07,0.00030384,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.959115333,0.010549116,0.030015018,-0.010312846,-0.009731057,-8.99E-06,-9.03E-10
1a-symmetric,1.00E-07,0.000942867,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.913837286,0,-0.010942967,-0.010942867,-1.00E-07,-1.20E-11
1a-symmetric,1.00E-07,0.000632639,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.94050028,0,-0.010632739,-0.010632639,-1.00E-07,-1.13E-11
1a-symmetric,1.00E-07,0.001628341,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.859967935,0,-0.011628441,-0.011628341,-1.00E-07,-1.35E-11
1a-symmetric,1.00E-07,0.021898183,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.269635682,5.73E-06,0.730345658,-0.037086292,-0.033276077,-0.00535894,-6.61E-06
1a-symmetric,1.00E-07,0.038874391,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.180905787,2.99E-06,0.819079357,-0.055276477,-0.052467586,-0.006730957,-1.95E-05
1a-symmetric,1.00E-07,0.000906406,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.916892318,0,-0.010906506,-0.010906406,-1.00E-07,-1.19E-11
1a-symmetric,1.00E-07,0.00151005,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.000249975,0.868555987,3.78E-05,-0.01151005,-0.011509495,1.44E-11,1.91E-15
1a-symmetric,1.00E-07,0.003614586,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.734506376,0,-0.013614686,-0.013614586,-1.00E-07,-1.85E-11
1a-symmetric,1.00E-07,0.000337848,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.967319353,0,-0.010337948,-0.010337848,-1.00E-07,-1.07E-11
1a-symmetric,1.00E-07,0.000406498,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.960938099,0,-0.010406598,-0.010406498,-1.00E-07,-1.08E-11
1a-symmetric,1.00E-07,0.00432038,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.698305506,0,-0.01432048,-0.01432038,-1.00E-07,-2.05E-11
1a-symmetric,1.00E-07,0.01639329,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.378884186,0,-0.02639339,-0.02639329,-1.00E-07,-6.97E-11
1a-symmetric,1.00E-07,8.95E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.847558809,0.143509493,0.007646753,-0.010090122,-0.00993867,-4.89E-07,-4.90E-11
1a-symmetric,1.00E-07,0.001040429,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.905761918,0,-0.011040529,-0.011040429,-1.00E-07,-1.22E-11
1a-symmetric,1.00E-07,0.022927285,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.261611973,5.43E-06,0.738369768,-0.038223757,-0.034491169,-0.005476696,-7.22E-06
1a-symmetric,1.00E-07,0.000869156,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.920034643,0,-0.010869256,-0.010869156,-1.00E-07,-1.18E-11
1a-symmetric,1.00E-07,0.003332527,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.75004534,0,-0.013332627,-0.013332527,-1.00E-07,-1.78E-11
1a-symmetric,1.00E-07,0.000132049,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.927052934,0.059764694,0.012393184,-0.010133585,-0.009889127,-1.45E-06,-1.45E-10
1a-symmetric,1.00E-07,0.000568279,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.946227864,0,-0.010568379,-0.010568279,-1.00E-07,-1.12E-11
1a-symmetric,1.00E-07,0.000224288,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.957920715,0.019681646,0.021956198,-0.010229108,-0.009800029,-4.77E-06,-4.78E-10
1a-symmetric,1.00E-07,0.006877643,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.592499802,0,-0.016877743,-0.016877643,-1.00E-07,-2.85E-11
1a-symmetric,1.00E-07,0.000163021,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.945518022,0.038204209,0.015654958,-0.010165471,-0.009857627,-2.37E-06,-2.38E-10
1a-symmetric,1.00E-07,0.001692495,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.855249426,0,-0.011692595,-0.011692495,-1.00E-07,-1.37E-11
1a-symmetric,1.00E-07,0.005282943,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.654324231,0,-0.015283043,-0.015282943,-1.00E-07,-2.34E-11
1a-symmetric,1.00E-07,0.005647291,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.639088262,0,-0.015647391,-0.015647291,-1.00E-07,-2.45E-11
1a-symmetric,1.00E-07,0.00147255,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.000262019,0.871383815,3.86E-05,-0.01147255,-0.011471978,1.50E-11,1.98E-15
1a-symmetric,1.00E-07,0.000617472,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.941843773,0,-0.010617572,-0.010617472,-1.00E-07,-1.13E-11
1a-symmetric,1.00E-07,0.003625048,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.733942392,0,-0.013625148,-0.013625048,-1.00E-07,-1.86E-11
1a-symmetric,1.00E-07,0.031477585,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.210645331,3.79E-06,0.78933868,-0.047472309,-0.044292836,-0.006254022,-1.32E-05
1a-symmetric,1.00E-07,0.000332828,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.967789218,0,-0.010332928,-0.010332828,-1.00E-07,-1.07E-11
1a-symmetric,1.00E-07,0.02875115,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.224432487,4.19E-06,0.775550954,-0.044555996,-0.041216673,-0.00603875,-1.11E-05
1a-symmetric,1.00E-07,0.010541051,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.486830007,0,-0.020541151,-0.020541051,-1.00E-07,-4.22E-11
1a-symmetric,1.00E-07,0.017654242,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.361608174,0,-0.027654342,-0.027654242,-1.00E-07,-7.65E-11
1a-symmetric,1.00E-07,0.000819928,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.924220546,0,-0.010820028,-0.010819928,-1.00E-07,-1.17E-11
1a-symmetric,1.00E-07,0.02728813,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.232663039,4.45E-06,0.767320047,-0.042979791,-0.039548654,-0.005912003,-1.00E-05
1a-symmetric,1.00E-07,0.001239074,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.889753032,0,-0.011239174,-0.011239074,-1.00E-07,-1.26E-11
1a-symmetric,1.00E-07,0.002979957,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.770418578,0,-0.012980057,-0.012979957,-1.00E-07,-1.68E-11
1a-symmetric,1.00E-07,0.000231667,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.958454488,0.018411175,0.022707806,-0.010236822,-0.00979339,-5.10E-06,-5.12E-10
1a-symmetric,1.00E-07,0.008640426,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.536468417,0,-0.018640526,-0.018640426,-1.00E-07,-3.47E-11
1a-symmetric,1.00E-07,0.008637776,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.536544713,0,-0.018637876,-0.018637776,-1.00E-07,-3.47E-11
1a-symmetric,1.00E-07,0.000506484,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.951793195,0,-0.010506584,-0.010506484,-1.00E-07,-1.10E-11
1a-symmetric,1.00E-07,0.004344994,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.697107279,0,-0.014345094,-0.014344994,-1.00E-07,-2.06E-11
1a-symmetric,1.00E-07,0.001867837,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.842613517,0,-0.011867937,-0.011867837,-1.00E-07,-1.41E-11
1a-symmetric,1.00E-07,0.001650446,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.858336254,0,-0.011650546,-0.011650446,-1.00E-07,-1.36E-11
1a-symmetric,1.00E-07,0.015013532,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.399783612,0,-0.025013632,-0.025013532,-1.00E-07,-6.26E-11
1a-symmetric,1.00E-07,0.029132754,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.222387331,4.13E-06,0.777596196,-0.044965755,-0.041649665,-0.006070449,-1.14E-05
1a-symmetric,1.00E-07,0.004269547,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.700793114,0,-0.014269647,-0.014269547,-1.00E-07,-2.04E-11
1a-symmetric,1.00E-07,0.001995805,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.833624746,0,-0.011995905,-0.011995805,-1.00E-07,-1.44E-11
1a-symmetric,1.00E-07,0.000425014,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.959231367,0,-0.010425114,-0.010425014,-1.00E-07,-1.09E-11
1a-symmetric,1.00E-07,0.001470064,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.000262849,0.871571888,3.86E-05,-0.011470064,-0.011469491,1.51E-11,1.98E-15
1a-symmetric,1.00E-07,0.000797478,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.926142194,0,-0.010797578,-0.010797478,-1.00E-07,-1.17E-11
1a-symmetric,1.00E-07,0.002652072,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.790384352,0,-0.012652172,-0.012652072,-1.00E-07,-1.60E-11
1a-symmetric,1.00E-07,0.000544851,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.948330146,0,-0.010544951,-0.010544851,-1.00E-07,-1.11E-11
1a-symmetric,1.00E-07,0.000784587,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.92724926,0,-0.010784687,-0.010784587,-1.00E-07,-1.16E-11
1a-symmetric,1.00E-07,0.007280178,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.578697742,0,-0.017280278,-0.017280178,-1.00E-07,-2.99E-11
1a-symmetric,1.00E-07,0.035258788,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.194251202,3.34E-06,0.805733449,-0.051478849,-0.048499308,-0.006514811,-1.63E-05
1a-symmetric,1.00E-07,0.008471517,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.541374052,0,-0.018471617,-0.018471517,-1.00E-07,-3.41E-11
1a-symmetric,1.00E-07,0.003061303,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.765620369,0,-0.013061403,-0.013061303,-1.00E-07,-1.71E-11
